Consecutivo de la fila;Nombre de la serie;Consecutivo de la  subserie;Nombre de la subserie;Fecha de inicio;Fecha de finalización;Años en archivo de gestión;Años en archivo central;Disposición final;Soporte;Procedimiento;
72;CONVOCATORIAS;2;Convocatorias consulta para designación rector;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;72
73;CONVOCATORIAS;3;Convocatorias de movilidad académica;2018-11-29;2050-12-26;2;8;MEDIO TECNOLOGICO;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Cumplido el tiempo de retención en el Archivo Central eliminar por ser documentos que pierden valores primarios y no adquieren valores secundarios. ;73
74;CONVOCATORIAS;4;Convocatorias elección docente ante el consejo académico;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;74
75;CONVOCATORIAS;5;Convocatorias elección docente ante el consejo directivo;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;75
76;CONVOCATORIAS;6;Convocatorias elección docentes al consejo de facultad;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;76
77;CONVOCATORIAS;7;Convocatorias elección egresado ante el consejo directivo;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;77
78;CONVOCATORIAS;8;Convocatorias elección estudiante ante el consejo de facultad;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;78
79;CONVOCATORIAS;9;Convocatorias elección estudiante ante el consejo académico;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;79
80;CONVOCATORIAS;10;Convocatorias elección estudiante ante el consejo directivo;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;80
81;CONVOCATORIAS;11;Convocatorias reunión electoral para la designación de las directivas académicas ante consejo directivo;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención seleccionar para conservación total los actos administrativos.;81
82;CONVOCATORIAS;12;Convocatorias vinculación docentes  ;2018-11-29;2050-12-26;2;3;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 3 en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención eliminar la subserie por perdida de sus valores primarios y no adquirir valores secundarios. Los actos administrativos originales  como resoluciones y acuerdos reposan en las series resoluciones o acuerdos.;82
83;CONVOCATORIAS;13;Convocatorias vinculación monitores;2018-11-29;2050-12-26;2;3;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 5 en el Archivo Central. Esta subserie refleja la elección,  conformación e integración de sus máximos órganos de dirección y gobierno. Cumplido el tiempo de retención eliminar la subserie por perdida de sus valores primarios y no adquirir valores secundarios. Los actos administrativos originales  como resoluciones reposan en las series resoluciones y la convocatoria de los monitores se realiza cada 6 meses. ;83
84;CONSENTIMIENTOS PARA PRUEBAS DE ESFUERZOS;1;Consentimientos para pruebas de esfuerzos;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar por perdida de valores primarios, son documentos que pierden vigencia una vez se haya presentado a prueba. ;84
85;DECLARACIONES TRIBUTARIAS ;1;Declaraciones de estampillas;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. (Ley 962 de 2005 Articulo 28). Las acciones de cobro de las obligaciones fiscales, prescribe en término de 5 años. Estatuto Tributario art. 18.;85
86;DECLARACIONES TRIBUTARIAS ;2;Declaraciones de impuesto de renta;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. (Ley 962 de 2005 Articulo 28). Las acciones de cobro de las obligaciones fiscales, prescribe en término de 5 años. Estatuto Tributario art. 18.;86
87;DECLARACIONES TRIBUTARIAS ;3;Declaraciones de industria y comercio;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. (Ley 962 de 2005 Articulo 28). Las acciones de cobro de las obligaciones fiscales, prescribe en término de 5 años. Estatuto Tributario art. 18.;87
88;DECLARACIONES TRIBUTARIAS ;4;Declaraciones de retención en  la fuente;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. (Ley 962 de 2005 Articulo 28). Las acciones de cobro de las obligaciones fiscales, prescribe en término de 5 años. Estatuto Tributario art. 18.;88
89;DECLARACIONES TRIBUTARIAS ;5;Declaraciones de tasa imder;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. (Ley 962 de 2005 Articulo 28). Las acciones de cobro de las obligaciones fiscales, prescribe en término de 5 años. Estatuto Tributario art. 18.;89
90;DEVOLUCIONES DE IVA;1;Devoluciones de iva;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. (Ley 962 de 2005 Articulo 28). Las acciones de cobro de las obligaciones fiscales, prescribe en término de 5 años. Estatuto Tributario art. 18.;90
91;ESTADOS FINANCIEROS;1;Estados de situaciones financieras;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28).;91
92;INFORMES;1;Informes a los organismos de control;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA ante los entes de control sobre la gestión jurídica, técnica, administrativo y/o financiera.  Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;92
93;INFORMES;2;Informes a otras entidades;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA ante los entes de control sobre la gestión jurídica, técnica, administrativo y/o financiera.  Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;93
94;INFORMES;3;Informes de administración del riesgo;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA, en cuanto al seguimiento a la gestión de riesgo de gestión, corrupción y seguridad digital que debe realizar Control Interno. ;94
95;INFORMES;4;Informes de auditoría al sistema de gestión de la calidad;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie es de conservación total, el informe evidencia los resultados del cumplimiento  de las disposiciones planificadas en el Sistema de Gestión de Calidad de la UCEVA;95
96;INFORMES;5;Informes de caja ;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA, son documentos que registran los resultados de la evaluación final que se realiza al Sistema de Control Interno. Decreto 2539 de 2000, artículo 2.;96
97;INFORMES;6;Informes deuda pública;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8  años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;97
98;INFORMES;7;Informes de evaluación al sistema de control interno;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA, son documentos que registran los resultados de la evaluación final que se realiza al Sistema de Control Interno. Decreto 2539 de 2000, artículo 2.;98
99;INFORMES;8;Informes de gestión de información;2018-11-29;2050-12-26;2;5;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 5 años en el Archivo Central. Son documentos de conservación total teniendo en cuenta que la información registrada responde a la ubicación de los archivos institucionales resguardados.;99
100;INFORMES;9;Informes de gestión institucional;2018-11-29;2050-12-26;2;1;CONSERVACION TOTAL;PAPEL;La información producida en esta serie documental corresponde a un conjunto de documentos que evidencian la gestión de la entidad, son fuente de información que permite recuperar la memoria institucional de la entidad, son documentos que revisten valores para la investigación.  Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN.;100
101;INFORMES;10;Informes de gestión por la dependencia;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 3 años en el Archivo de Gestión, cumplido el tiempo de retención  eliminar, teniendo en cuenta que la información se encuentra consolidada en la subserie  Informes de Gestión Institucional, que reposa en la oficina de Planeación. ;101
102;INFORMES;11;Informes de memorias de cálculo presupuestal;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA ante los entes de control sobre la gestión jurídica, técnica, administrativo y/o financiera.  Se conservan 2 años en el Archivo de Gestión y 8  años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN. ;102
103;INFORMES;12;Informes de seguimiento a las peticiones, quejas, reclamos, sugerencias – pqrs;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie es de conservación total, son documentos que adquieren un valor legal,  probatorio, administrativo e histórico desde el momento de su creación. Art. 76 Ley 14 de 2011;103
104;INFORMES;13;Informes de seguimiento al programa de extensión y proyección social;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos de conservación total porque el informe consolida y evidencia la ejecución de la extensión y proyección social de las facultades. ;104
105;INFORMES;14;Informes de servicios tecnológicos;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención seleccionar para transferir y conservar totalmente únicamente el control resguardo copias de seguridad., ;105
106;INFORMES;15;Informes de sistemas de información;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención seleccionar para transferir y conservar totalmente únicamente Definición de Requerimientos porque en esta define la modificación y/o creación de nuevas funcionalidades para los SI.;106
107;INFORMES;16;Informes trimestrales de seguimiento al modelo integrado de planeación y control – mipg;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA dando cumplimiento al Decreto 1499 de 2017. Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;107
108;INFORMES;17;Informes uso y apropiación ti;2018-11-29;2050-12-26;2;1;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar, son documentos que pierden valores primarios.;108
109;FICHAS TÉCNICAS LABORATORIO;1;Fichas técnicas de laboratorio;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar por perdida de valores primarios, el mantenimiento de cada equipo se registra en su hoja de vida.;109
110;INSTRUMENTOS ARCHIVÍSTICOS;1;Bancos terminológicos de series y subseries documentales;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta serie es de conservación total porque históricamente permite identificar cuáles son las series y subseries que ha producido cada dependencia de la UCEVA a lo largo de su gestión. ;110
111;INSTRUMENTOS ARCHIVÍSTICOS;2;Cuadros de clasificación documental;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta serie es de conservación total por ser un documento que refleja la jerarquización de la documentación que ha producido la UCEVA a lo largo de la historia.;111
112;INSTRUMENTOS ARCHIVÍSTICOS;3;Inventarios documentales de archivo central;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conserva 2 años en el Archivo de Gestión y  8 años en el Archivo Central. Esta documentación aporta valores secundarios para la UCEVA porque permiten identificar históricamente la producción documental de la universidad.;112
113;INSTRUMENTOS ARCHIVÍSTICOS;4;Inventarios documentales de archivo de gestión;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;El inventario documental en cada dependencia deber ser elaborado tanto por cada funcionario o contratista, dando cumplimiento a los lineamientos de la Ley 594 de 2000 Artículo 15 y el Decreto 1080 de 2015 Artículo 2.8.2.2.4. Se conservan 2 años en el Archivo de Gestión, se deben conservan permanentemente en este archivo, debido a que debe permanecer actualizado.;113
114;HISTORIAS LABORALES;1;Historias laborales;2018-11-29;2050-12-26;2;88;SELECCION;PAPEL;Se transfieren  al Archivo Central 2 años después de desvinculado el funcionario de la entidad, se transfieren al Archivo Central para ser conservadas por 88 años, cumplido el tiempo de retención seleccionar el 5% aquellas historias laborales que aportes valores secundarios para la entidad, como la representatividad o el impacto que haya generado algún funcionario para la universidad  o el municipio.;114
115;HISTORIAS LABORALES;2;Historias laborales docentes hora cátedra;2018-11-29;2050-12-26;2;88;SELECCION;PAPEL;Se transfieren  al Archivo Central 2 años después de desvinculado el funcionario de la entidad, se transfieren al Archivo Central para ser conservadas por 88 años, cumplido el tiempo de retención seleccionar el 5% aquellas historias laborales que aportes valores secundarios para la entidad, como la representatividad o el impacto que haya generado algún funcionario para la universidad  o el municipio.;115
116;HISTORIAS LABORALES;3;Historias laborales administrativos, docentes tiempo completo y docentes tiempo completo ocasional;2018-11-29;2050-12-26;2;88;SELECCION;PAPEL;Se transfieren  al Archivo Central 2 años después de desvinculado el funcionario de la entidad, se transfieren al Archivo Central para ser conservadas por 88 años, cumplido el tiempo de retención seleccionar el 5% aquellas historias laborales que aportes valores secundarios para la entidad, como la representatividad o el impacto que haya generado algún funcionario para la universidad  o el municipio.;116
117;HISTORIAS CLÍNICAS OCUPACIONALES;1;Historias clínicas ocupacionales;2018-11-29;2050-12-26;2;18;ELIMINACION;PAPEL;Trasladar al Archivo Central, 2 años después de desvinculado el funcionario. Se conservan  18 años en el Archivo Central,  Artículo2.2.4.6.13.Decreto 1072 de 2015 establece que el empleador debe conservar los registros y documentos que soportan el Sistema de Gestión de la Seguridad y Salud en el Trabajo, por un periodo mínimo de 20 años. Cumplido el tiempo de retención en el Archivo Central eliminar:;117
118;HOJAS DE VIDA EQUIPOS TI;1;Hojas de vida equipo ti;2018-11-29;2050-12-26;2;5;ELIMINACION;PAPEL;Se transfiere al Archivo Central 2 años después de concluir la tramitación de autorización de baja del equipo. Son documentos que pierden valores primarios. Una vez cumplan el tiempo en el Archivo Central que corresponde a 5 años se eliminan.;118
119;HOJAS DE VIDA EQUIPOS DE LABORATORIO;1;Hojas de vida de equipos de laboratorio;2018-11-29;2050-12-26;2;5;ELIMINACION;PAPEL;Se transfiere al Archivo Central 2 años después de concluir la tramitación de autorización de baja del equipo. Son documentos que tienen valor administrativo. Una vez cumplan el tiempo en el Archivo Central que corresponde a 5 años se eliminan.;119
120;LIBROS DE REGISTRO ACTAS DE GRADO GENERAL;1;Libros de registros actas de grado general;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad, tiene valores administrativos y legales e históricos por ser el registro de evidencia del grado de los estudiantes y se consulta para expedición de duplicados de diplomas y/o actas de grado.;120
121;PETICIONES QUEJAS RECLAMOS - SUGERENCIAS  - PQRS;1;Peticiones, quejas, reclamos – sugerencias pqrs;2018-11-29;2050-12-26;2;0;SELECCION;PAPEL;Son documentos que adquieren valores legales y administrativos. Son el resultado de las peticiones, quejas, reclamos, sugerencias y denuncias realizadas por la ciudadanía en general según la Ley 1755 del 30 de julio de 2015. Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar porque toda la información reposa en el aplicativo de radicacion de las comunicaciones. ;121
122;INSTRUMENTOS ARCHIVÍSTICOS;5;Planes institucionales de archivos;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central.. Es un instrumento archivístico que le permite a la UCEVA la planeación de la Gestión Documental, la cual se garantiza mediante la articulación con los planes y proyectos estratégicos que cuente la entidad. Su conservación total se regula en la Circular 003 de 2015 AGN;122
123;INSTRUMENTOS ARCHIVÍSTICOS;6;Programas de gestión documental ;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Es un instrumento archivístico que formula y documental a corto, mediano y largo plazo el desarrollo sistemático de los procesos archivísticos. Su conservación total se regula en la Circular 003 de 2015 AGN.;123
124;INSTRUMENTOS ARCHIVÍSTICOS;7;Tablas de control y acceso;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Es un instrumento archivístico que permite identificar el listado de series y subseries documentales en el cual se identifican sus condiciones de acceso y restricción en la entidad. Su conservación total se regula en la Circular 003 de 2015 AGN.;124
125;INSTRUMENTOS ARCHIVÍSTICOS;8;Tablas de retención documental;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Es un instrumento archivístico que permite identificar las series, subiseries y tipos documentales generadas por cada unidad administrativa y su ciclo vital, su conservación total garantizará la trazabilidad e historia de la producción documental en la entidad. Su conservación total se regula en la Circular 003 de 2015 AGN. ;125
126;INSTRUMENTOS DE CONTROL;1;Instrumentos de control de comunicaciones oficiales;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión. Son documentos que le permiten certificar la recepción de los documentos, por parte de los funcionarios competentes, así como el seguimiento a los tiempos de respuesta de las comunicaciones recibidas. Artículo 8 del Acuerdo 060 de 2001 y el Acuerdo 042 de 2002 consulta y préstamo de documentos. Una vez cumplan el tiempo de retención en el Archivo de Gestión eliminar por perdida de sus valores administrativos. ;126
127;LIQUIDACIONES DE CURSOS ESPECIALES;1;Liquidaciones de cursos especiales;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar porque el tipo documental se convierte en un anexo de la resolución de autorización de cursos especiales emitida por las facultades.  ;127
128;INVENTARIOS;1;Inventarios bibliográficos;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar porque el tipo documental se convierte en un anexo de la resolución de autorización de cursos especiales emitida por las facultades.  ;128
129;INVENTARIOS;2;Inventarios de activos fijos;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA ante los entes de control sobre la gestión jurídica, técnica, administrativo y/o financiera.  Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;129
130;INVENTARIOS;3;Inventarios de consumibles;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA ante los entes de control sobre la gestión jurídica, técnica, administrativo y/o financiera.  Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;130
131;INVENTARIOS;4;Inventarios de hardware;2018-11-29;2050-12-26;2;5;ELIMINACION;PAPEL;Se conserva 2 años en Archivo de Gestión, cumplido el tiempo de retención se transfiere al Archivo Central Una vez cumplan el tiempo que corresponde a 5 años se eliminan, por perdida de valores primarios. ;131
132;INVENTARIOS;5;Inventarios de insumos consumibles;2018-11-29;2050-12-26;2;0;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar por perdida de valores primarios, son documentos que se actualizan constantemente. ;132
133;LICENCIAS DE SOFTWARE;1;Licencias de software;2018-11-29;2050-12-26;1;9;CONSERVACION TOTAL;PAPEL;Se transfiere al Archivo Central un año después de vencida la licencia. Cumplido los 9 años  de retención en el Archivo Central, transferir al Archivo Histórico. Son documentos de relevancia administrativa para la entidad. Se conservan en medio magnéticos.;133
134;MANUALES;1;Manuales de almacén;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta serie es de conservación total  porque refleja las actuaciones administrativas de la universidad en cuanto a la definición delos lineamientos para la administración del almacén en la universidad. Su conservación total se regula en la Circular 003 de 2015 AGN;134
135;MANUALES;2;Manuales de comunicaciones;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se transfieren al Archivo Central dos años después de su actualización. Esta serie es de conservación total  porque refleja las actuaciones administrativas de la institución. El soporte es medio magnético .;135
136;MANUALES;3;Manuales de contratación ;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta serie es de conservación total  porque refleja las actuaciones administrativas de la universidad en cuanto al cumplimiento del Estatuto General de Contratación, la Ley 1150 y sus decretos reglamentarios. Su conservación total se regula en la Circular 003 de 2015 AGN;136
137;MANUALES;4;Manuales de imagen corporativa;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se transfieren al Archivo Central dos años después de su actualización. Esta serie es de conservación total  porque refleja las actuaciones administrativas de la institución. El soporte es medio magnético. ;137
138;MANUALES;5;Manuales de presupuesto;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta serie es de conservación total  porque refleja las actuaciones administrativas de la universidad en cuanto a brindar información sobre la perspectiva histórica del comportamiento de rubros que conforman el presupuesto de la universidad. Su conservación total se regula en la Circular 003 de 2015 AGN;138
139;MANUALES;6;Manuales de procesos y  procedimientos;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad en cuanto a que evidencia la descripción de las actividades que se desarrollan en las dependencias, acorde a las funciones asignadas.  Este documento se conserva en medio digital. Su conservación total se regula en la Circular 003 de 2015 AGN;139
140;MANUALES;7;Manuales de supervisión e interventoría;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central.  Esta serie es de conservación total  porque refleja las actuaciones administrativas de la universidad en cuanto al cumplimiento del Estatuto General de Contratación, la Ley 1150 y sus decretos reglamentarios. Su conservación total se regula en la Circular 003 de 2015 AGN;140
141;MANUALES;8;Manuales de usuario;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;141
142;MANUALES;9;Manuales del sistema gestión de calidad;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años  en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad en cuanto a que da a conocer los objetivos y estándares de calidad de la entidad. Este documento se conserva en medio digital. Su conservación total se regula en la Circular 003 de 2015 AGN;142
143;MANUALES;10;Manuales específicos de funciones y competencias laborales;2018-11-29;2050-12-26;2;1;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que reflejan históricamente las funciones, requisitos y competencias para los empleados de planta de la Personería. Su conservación total se regula en la Circular 003 de 2015 AGN;143
144;MANUALES;11;Manuales generales de bioseguridad de laboratorios;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;144
145;NOTAS CONTABLES;1;Notas de contabilidad;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28).;145
146;NOTAS CONTABLES;2;Notas presupuestales;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28).;146
